Year,India_Total,India_GDP
2023,1428627663,8.2
2022,1417173173,7
2021,1407563842,9.7
2020,1396387127,-5.8
2019,1383112050,3.9
2018,1369003306,6.5
2017,1354195680,6.8
2016,1338636340,8.3
2015,1322866505,8
2014,1307246509,7.4
2013,1291132063,6.4
2012,1274487215,5.5
2011,1257621191,5.2
2010,1240613620,8.5
2009,1223640160,7.9
2008,1206734806,3.1
2007,1189691809,7.7
2006,1172373788,8.1
2005,1154638713,7.9
2004,1136264583,7.9
2003,1117415123,7.9
2002,1098313039,3.8
2001,1078970907,4.8
2000,1059633675,3.8